ter...0.000852...Temp...0.008088...Fsig(1,1)...0.188123 
ter...0.000314...Temp...0.008088...Fsig(1,1)...0.188123 
ter...0.000879...Temp...0.006470...Fsig(1,1)...0.187707 
ter...0.000775...Temp...0.005176...Fsig(1,1)...0.187707 
ter...0.000390...Temp...0.004141...Fsig(1,1)...0.187707 
ter...0.000991...Temp...0.003313...Fsig(1,1)...0.187707 
ter...0.001204...Temp...0.002650...Fsig(1,1)...0.187707 
ter...0.000926...Temp...0.002120...Fsig(1,1)...0.187707 
ter...0.000908...Temp...0.001696...Fsig(1,1)...0.187707 
ter...0.001065...Temp...0.001357...Fsig(1,1)...0.187707 
ter...0.001115...Temp...0.001086...Fsig(1,1)...0.187707 
ter...0.001100...Temp...0.000868...Fsig(1,1)...0.187707 
ter...0.000776...Temp...0.000695...Fsig(1,1)...0.187707 
ter...0.000557...Temp...0.000556...Fsig(1,1)...0.187707 
ter...0.000802...Temp...0.000445...Fsig(1,1)...0.187707 
ter...0.001757...Temp...0.000356...Fsig(1,1)...0.187399 
ter...0.001391...Temp...0.000285...Fsig(1,1)...0.187399 
ter...0.001167...Temp...0.000228...Fsig(1,1)...0.187399 
